EventID	TrackID	nPhotons	Px	Py	Pz	KineticEnergy	Hits
133	1	31066697	419.913	-283.139	-609.66	693.932	3
134	1	31271916	-1694.32	-345.902	-3755.7	4030.38	9
135	1	31429975	135.433	221.327	-644.814	597.39	10
136	1	31767865	-563.686	-399.342	-1620.59	1659.19	15
137	1	32087734	-545.286	323.463	-1149.56	1211.39	15
138	1	32090517	-526.666	-262.681	-1031.55	1086.67	0
139	1	32508985	766.725	282.65	-1101.35	1269.8	31
140	1	32521030	525.462	-49.4932	-750.316	817.758	0
141	1	32738106	-1407.7	-516.105	-2168.68	2532.96	6
142	1	33139096	496.608	20.1327	-1413.83	1396.71	16
143	1	33580818	238.463	23.0969	-1189.29	1112.12	12
144	1	33580818	963.585	844.694	-3173.75	3318.65	0
145	1	33782611	-704.772	501.696	-919.934	1161.56	13
146	1	34076531	103.095	211.916	-2059.12	1969.6	11
147	1	34299239	301.304	-66.0076	-446.098	446.889	11
148	1	34746098	151.264	-512.768	-748.542	820.242	10
149	1	34779282	929.472	-1815.54	-2038.27	2779.79	2
150	1	35103256	694.093	660.928	-1390.32	1586.31	6
151	1	35418920	405.678	136.961	-338.094	450.043	36
152	1	35911604	2114.02	763.218	-3074.1	3703.91	27
153	1	35972384	2684.36	1086.57	-3783.22	4659.88	6
154	1	36420608	-662.944	154.724	-1326.01	1388.63	18
155	1	36851943	-620.763	-44.7569	-1010.22	1085.58	29
156	1	37302569	-1577.6	-482.379	-2548.53	2932.05	13
157	1	37302569	-185.204	-97.1778	-323.696	293.95	0
158	1	37302569	184.413	-409.786	-402.163	506.577	0
159	1	37377665	24.9779	387.313	-509.934	543.828	9
160	1	37377665	332.505	-213.915	-669.994	679.437	0
161	1	37377665	365.241	-766.437	-648.012	967.613	0
162	1	37483116	-3868.49	-500.952	-4496.24	5847.79	8
163	1	37872188	164.323	537.737	-1250.48	1269.49	21
164	1	38019740	-14.7931	173.847	-490.912	425.943	8
165	1	38019740	350.37	173.522	-477.751	520.664	0
166	1	38187849	495.066	-958.244	-967.987	1347.44	9
167	1	38187849	638.709	-142.793	-653.008	824.891	0
168	1	38620917	-2870.77	665.919	-1704.57	3300.44	19
169	1	38714634	-4260.29	1512.12	-2395.6	5011.63	8
170	1	39160985	-556.354	-714.033	-2274.56	2344.68	15
171	1	39541170	-302.53	-295.453	-1655.83	1606.58	21
172	1	39546882	-494.026	-538.339	-1200.14	1303.37	0
173	1	39730362	296.232	918.55	-1312.26	1526.73	8
174	1	40112687	167.848	-109.379	-838.837	763.219	17
175	1	40476942	-118.377	-54.4031	-1081.7	988.97	12
176	1	40839622	53.1842	-150.062	-395.088	333.21	22
177	1	41221262	104.695	-69.6891	-702.608	615.895	14
178	1	41245062	1168.91	40.5795	-1601.98	1880.67	0
179	1	41615665	-1174.16	1195.05	-2471.76	2882.24	13
180	1	41833289	-566.002	149.755	-1388.08	1404.55	9
181	1	42220403	19.5249	-245.356	-586.42	539.038	13
182	1	42732750	1444.7	-1411	-2875.61	3409.79	26
183	1	42732750	1713.34	-796.85	-2256.04	2839.06	0
184	1	43224556	548.329	1363.42	-812.475	1576.86	34
185	1	43649887	677.274	2051.55	-1554.22	2557.86	15
186	1	43673761	188.091	1087.27	-625.703	1167.21	0
187	1	43845488	-694.041	-597.023	-2414.77	2478.99	7
188	1	43966767	233.89	104.056	-500.278	466.158	3
189	1	44288383	-466.762	-647.347	-1720.33	1793.72	9
190	1	44890369	202.624	-202.298	-3584.23	3491.54	27
191	1	44997463	295.29	-87.2616	-499.783	490.796	3
192	1	45333174	671.945	-68.7489	-454.61	715.36	25
193	1	45333794	578.624	-77.8756	-730.71	835.602	0
194	1	45646548	-583.901	-96.5023	-860.314	943.893	14
195	1	45703114	-106.034	-189.067	-743.63	676.096	1
196	1	45749037	147.854	91.0654	-238.147	207.442	2
197	1	45980775	-482.736	-885.286	-1865.86	2017.87	7
198	1	46349680	153.734	-29.0006	-637.999	559.685	15
199	1	46349680	2596.93	-283.624	-4284.02	4913.15	0
200	1	46555602	389.773	703.099	-487.386	840.376	9
201	1	47039651	982.274	480.49	-1435.97	1702.35	26
202	1	47039651	1254.75	697.129	-1793.3	2193.79	0
203	1	47071920	-23.1194	-74.6768	-100.568	59.8372	4
204	1	47465902	-17.241	-249.634	-820.361	758.501	17
205	1	47839504	68.6242	55.2027	-1662.18	1562.2	12
206	1	48215595	-19.5251	-287.45	-1883.17	1802.35	19
207	1	48668780	771.393	-811.428	-2379.38	2526.09	27
208	1	48939124	305.442	-256.848	-784.202	780.571	24
209	1	49265913	-64.5549	-127.623	-340.443	278.425	19
210	1	49695086	302.955	-1342.92	-4941.55	5025.16	13
211	1	50001340	409.346	-2160.46	-6602.04	6853.74	15
212	1	50001340	1186.69	630.429	-3223.76	3388.55	0
213	1	50268433	-377.934	-308.912	-492.156	595.514	11
214	1	50510159	-166.376	-636.326	-1886.41	1894.92	13
215	1	50901423	-54.0265	165.58	-510.083	443.6	26
216	1	51150495	223.054	766.457	-1510.05	1605.66	13
217	1	51639751	2528.26	129.766	-4263.22	4853.69	25
218	1	52114288	2817.63	1138.72	-4225.22	5100.05	29
219	1	52543139	310.508	119.181	-471.961	481.309	16
220	1	53016238	1060.02	415.837	-1685.04	1930.78	25
221	1	53082799	747.924	620.394	-1307.02	1526.44	0
222	1	53273552	-1685.75	1990.57	-3267.27	4076.49	10
223	1	53785666	-438.467	-558.207	-6315.76	6250.74	18
224	1	54163793	56.5156	100.041	-1381.98	1285.11	17
225	1	54545394	-156.497	-94.7539	-1291.46	1202.97	18
226	1	54919986	-52.5836	-165.992	-668.494	593.174	18
227	1	55265262	-352.598	-192.618	-3458.26	3377.47	14
228	1	55496035	-512.026	1176.99	-2013.8	2284.75	10
229	1	55671273	46.2675	-45.9913	-217.397	144.704	5
230	1	56062491	-55.8419	-238.348	-541.364	497.804	26
231	1	56062491	165.805	-363.006	-1312.73	1270.46	0
232	1	56062491	15.1781	377.515	-425.81	473.329	0
233	1	56488281	1404.43	-482.901	-1288.48	1863.34	18
234	1	56488281	1037.02	-776.618	-1409.92	1812.04	0
235	1	56621325	-177.997	227.593	-426.799	420.462	10
236	1	57043310	530.524	169.237	-1278.22	1292.59	17
237	1	57434749	244.046	-26.6419	-1006.16	935.394	11
238	1	57583415	804.101	66.7596	-1605.99	1694.73	6
239	1	57687732	65.3881	-182.037	-243.774	222.979	6
240	1	58093412	-198.274	172.066	-945.65	881.427	9
241	1	58093412	-61.6981	65.2353	-306.87	231.084	0
242	1	58110970	-1129.6	-861.226	-1067.62	1674.42	0
243	1	58577477	503.143	907.079	-2113.87	2251.36	18
244	1	58890866	714.41	1621.69	-2535.84	2989.81	16
245	1	59260428	27.5287	619.386	-2844.45	2807.49	13
246	1	59652323	314.837	457.417	-1631.64	1621.12	11
247	1	60014815	160.147	-37.5445	-716.247	636.791	23
248	1	60409758	47.6102	779.882	-2854.19	2855.43	46
249	1	60409758	33.5019	221.156	-1687.03	1599.41	0
250	1	60804454	-73.0529	1073.59	-640.995	1151.31	29
251	1	60828257	-101.99	2354.41	-1894.89	2920.13	1
252	1	61440500	-1668.41	-1561.71	-4103.98	4592.89	32
253	1	61621072	-367.347	-470.182	-1024.17	1084.34	5
254	1	62156618	749.062	-51.3055	-2231.81	2251.43	16
255	1	62389187	2696.96	62.0065	-5505.29	6025.97	14
256	1	62709800	35.8451	848.687	-1389.43	1526.28	19
257	1	62984174	203.168	187.897	-1071.29	1005.83	8
258	1	63129122	-238.357	227.929	-589.287	577.854	8
259	1	63129122	-1243.38	-1209.58	-2498.6	2937.9	0
260	1	63357226	-4638.98	1122.13	-4135.98	6210.73	10
261	1	63467241	-399.968	984.615	-2765.42	2858.82	5
262	1	63629354	612.953	-508.558	-1391.76	1501.36	7
263	1	63733840	163.328	165.902	-357.436	333.8	6
264	1	64133783	-225.323	-154.851	-705.647	658.443	13
265	1	64167250	-966.043	189.42	-2051.25	2172.04	2
266	1	64558820	552.231	-1745.59	-2396.53	2912.05	18
267	1	64688796	38.7893	-301.777	-811.624	767.538	4
268	1	64765938	155.202	-14.4757	-194.218	164.863	0
269	1	64765938	-709.49	609.643	-2549.1	2611.71	0
270	1	64848140	1230.94	-1127.83	-1350.12	2044.04	3
271	1	64869136	-61.5401	67.8611	-329.007	251.835	0
272	1	64869136	137.67	-477.912	-636.26	708.801	0
273	1	65006148	489.502	303.003	-442.746	628.243	4
274	1	65010648	95.7482	-405.775	-1212.06	1180.45	0
275	1	65474817	-828.906	286.611	-1058.2	1272.81	21
276	1	65474817	-1105.57	-17.6826	-1192.87	1524.28	0
277	1	65709522	-118.029	-892.116	-595.665	978.677	8
278	1	66448945	-2985.34	-1727.03	-3782.18	5014	37
279	1	66788485	-2077.42	-735.355	-2050.33	2906.22	22
280	1	66806496	-491.453	-86.4043	-734.013	788.171	0
281	1	66907386	1494.1	-889.032	-2496.85	2938.7	4
282	1	67239437	-793.928	455.563	-2359.54	2427.41	18
283	1	67623165	-334.942	-291.354	-839.264	849.644	17
284	1	67967055	-95.283	-20.8204	-458.877	375.22	18
285	1	68201073	-473.86	-345.811	-1029.26	1083.74	10
286	1	68201073	-21.4756	182.846	-876.931	796.598	0
287	1	68614369	147.513	-419.016	-462.435	544.222	19
288	1	68700086	607.085	-1534.42	-1279.44	1985.07	4
289	1	68700086	-74.0306	79.0324	-521.1	436.961	0
290	1	68700086	328.894	-1021.11	-698.299	1178.72	0
291	1	69060530	-546.622	204.773	-770.172	866.482	14
292	1	69060530	-263.111	160.632	-642.118	614.418	0
293	1	69432255	-7061.16	2280	-4018.55	8333.43	14
294	1	69829169	-868.201	226.032	-390.035	878.29	17
295	1	69829169	-1234.41	366.06	-659.754	1344.93	0
296	1	70134449	611.686	-145.523	-723.594	858.753	17
297	1	70551450	695.182	41.562	-1685.56	1721.16	17
298	1	70959994	664.497	94.5649	-1237.54	1306.14	17
299	1	71182294	2993.21	40.7349	-5550.15	6201.19	10
300	1	71182294	-66.4443	-491.139	-1533.36	1509.27	0
301	1	71592232	3297.85	-1648.06	-2556.85	4382.17	24
302	1	71678866	300.343	-83.2074	-210.734	285.113	6
303	1	72094933	-28.1459	105.922	-693.822	604.669	16
304	1	72094933	111.725	64.0592	-282.956	222.692	0
305	1	72215532	-158.699	193.432	-258.412	269.231	11
306	1	72215532	-1078.44	-357.88	-1456.29	1744.49	0
307	1	72390867	-590.328	-675.773	-562.91	958.855	10
308	1	72817680	-241.09	-191.57	-1010.89	956.362	16
309	1	73481053	-1312.92	-1431.93	-5289.5	5530.31	34
310	1	73790461	-266.093	-470.35	-1734.43	1714.08	21
311	1	74012038	35.3963	52.9533	-285.626	205.473	9
312	1	74387805	186.861	-113.46	-491.204	442.279	14
313	1	74522397	1515.49	-1196.19	-2126	2768.12	9
314	1	74979914	147.279	287.006	-880.629	838.129	16
315	1	75493692	1832.77	102.456	-3494.94	3843.43	19
316	1	75949111	1229.58	301.28	-2120.48	2366.23	16
317	1	76169511	3904.86	424.376	-6156.24	7197.66	15
318	1	76463037	-49.0665	130.106	-314.271	253.876	18
319	1	76463037	-353.099	322.376	-2896.77	2832.21	0
320	1	76477007	-337.917	47.3932	-261.723	337.17	0
321	1	76834399	452.638	-331.108	-1058.63	1097	82
322	1	77271814	1534.52	-872.241	-8796.28	8866.59	25
323	1	77457918	108.956	-156.325	-385.696	337.325	6
324	1	77941887	-521.507	207.389	-2005.91	1979.96	17
