wl,n
4.49097,2.085030431982
4.54297,2.081845680664
4.59558,2.078569430806
4.64879,2.075198777169
4.70262,2.071730789457
4.75707,2.068162539639
4.81216,2.064491104546
4.86788,2.060713563595
4.92425,2.056827023254
4.98127,2.05282861603
5.03895,2.048715505819
5.0973,2.044484890325
5.15632,2.040133996565
5.21603,2.035660092842
5.27643,2.03106046492
5.33752,2.026332427851
5.39933,2.021473270444
5.46185,2.01648029117
5.5251,2.011350749904
5.58907,2.006081840643
5.65379,2.000670671899
5.71926,1.995114220279
5.78549,1.989409307719
5.85248,1.983552570842
5.92025,1.977540383211
5.9888,1.97136882437
6.05815,1.965033648862
6.1283,1.958530201734
6.19926,1.951853362377
6.27104,1.944997516101
6.34366,1.93795644939
6.41712,1.930723293665
6.49142,1.923290444695
6.56659,1.915649514029
6.64263,1.907791208756
6.71955,1.899705285636
6.79735,1.891380343812
6.87606,1.882803847713
6.95568,1.873961913301
7.03623,1.864839216777
7.1177,1.855418767421
7.20012,1.845681763417
7.2835,1.835607307262
7.36783,1.825172238879
7.45315,1.814350728552
7.53945,1.803113850766
7.62676,1.791429240641
7.71507,1.779260609019
7.80441,1.76656705638
7.89478,1.753302489769
7.98619,1.739414939799
8.07867,1.724846043697
8.17222,1.709530221053
8.26685,1.693394410022
8.36257,1.676357566059
8.45941,1.658330903882
8.55736,1.639218227911
8.65645,1.618916966322
8.75669,1.597319697675
8.85809,1.574316729462
8.96066,1.549799562768
9.06442,1.52366483322
9.16938,1.495820478562
9.27555,1.466192612342
9.38296,1.434734005548
9.49161,1.401435563484
9.60152,1.366339009152
9.7127,1.329554236637
9.82517,1.291279063496
9.93894,1.251824586138
10.054,1.211641654503
10.1704,1.171348961044
10.2882,1.131749913569
10.4073,1.093825089871
10.5279,1.058677361964
10.6498,1.027413175057
10.7731,1.000968161809
10.8978,0.9799285865029
11.024,0.9644177981304
11.1517,0.9540983799398
11.2808,0.9482740047453
11.4114,0.9460321097938
11.5436,0.9463742357655
11.6772,0.9483062032748
11.8124,0.9508914429054
11.9492,0.953275459254
12.0876,0.9546944577788
12.2276,0.9544804421608
12.3692,0.9520638106326
12.5124,0.9469822802444
12.6573,0.9388974470574
12.8038,0.9276208809744
12.9521,0.9131536974586
13.1021,0.8957386173739
13.2538,0.8759171821884
13.4073,0.854583045809
13.5625,0.8330025313345
13.7196,0.8127786393695
13.8784,0.7957433383819
14.0391,0.7837824944208
14.2017,0.7786310698319
14.3661,0.7816886288938
14.5325,0.7938875805933
14.7008,0.8156311503043
14.871,0.846791103433
15.0432,0.8867505332239
15.2174,0.9344801081949
15.3936,0.9886350906376
15.5718,1.047668369525
15.7522,1.10995047093
15.9346,1.173890476093
16.1191,1.238050108022
16.3057,1.301239945394
16.4945,1.362591575966
16.6855,1.421598016771
16.8787,1.47811844261
17.0742,1.532348992941
17.2719,1.584760083596
17.4719,1.636011754643
17.6742,1.68685859137
17.8789,1.738054652413
18.0859,1.790274268637
18.2953,1.844051379484
18.5072,1.899749111013
18.7215,1.957549296178
18.9383,2.017465297875
19.1575,2.07936605524
19.3794,2.14301059337
19.6038,2.208079583608
19.8308,2.274209291497
20.0604,2.341016770645
20.2927,2.408121187933
20.5277,2.475159382565
20.7654,2.541796197234
21.0058,2.607730064397
21.2491,2.672694612584
21.4951,2.736459760542
21.744,2.79882945269
21.9958,2.859639695446
22.2505,2.918755716835
22.5082,2.976069341316
22.7688,3.031496790535
23.0324,3.084977165983
23.2991,3.136471804724
23.5689,3.185964635502
23.8418,3.233463590477
24.1179,3.279003040422
24.3972,3.322647115118
24.6797,3.364493647466
24.9655,3.404678346641
25.2546,3.443378675388
25.547,3.480816797562
25.8428,3.51726089616
26.1421,3.553024162446
26.4448,3.588460843473
26.751,3.623958920707
27.0608,3.659929275197
27.3741,3.696791555549
27.6911,3.734957364483
28.0117,3.77481176191
28.3361,3.816694382996
28.6642,3.860881630257
28.9961,3.907571381476
29.3319,3.956871454609
29.6715,4.008792716539
30.0151,4.063247273123
30.3627,4.120051705977
30.7142,4.178934896271
31.0699,4.239549649002
31.4297,4.301487129144
31.7936,4.364293044753
32.1618,4.427484543735
32.5342,4.490566901842
32.9109,4.553049238656
33.292,4.614458678079
33.6775,4.674352548925
34.0675,4.732328385473
34.462,4.788031629355
34.861,4.841161049846
35.2647,4.891471989749
35.673,4.938777610537
36.0861,4.982948356254
36.504,5.023909884073
36.9266,5.061639723405
37.3542,5.096162927898
37.7868,5.127546977957
38.2243,5.15589617764
38.6669,5.181345770693
39.1147,5.204055977637
39.5676,5.224206130336
40.0258,5.241989053546
40.4893,5.257605815462
40.9581,5.271260941919
41.4324,5.283158162559
41.9121,5.293496732333
42.3975,5.302468348796
42.8884,5.310254665198
43.385,5.317025381572
43.8874,5.322936881323
44.3956,5.328131369104
44.9097,5.332736457223
45.4297,5.336865142278
45.9558,5.340616110967
46.4879,5.344074313772
47.0262,5.347311747137
47.5707,5.350388388463
48.1216,5.353353233135
48.6788,5.356245388828
49.2425,5.359095188596
49.8127,5.36192529091
50.3895,5.364751741184
50.973,5.367584975408
51.5632,5.370430751986
52.1603,5.373291002814
52.7643,5.376164598715
53.3752,5.379048027878
53.9933,5.381935988597
54.6185,5.384821899831
55.251,5.387698334536
55.8907,5.390557381802
56.5379,5.3933909444
57.1926,5.396190978633
57.8549,5.398949683345
58.5248,5.401659644747
59.2025,5.404313943342
59.888,5.406906228764
60.5815,5.409430767835
61.283,5.411882470615
61.9926,5.414256898603
62.7104,5.416550258788
63.4366,5.418759386705
64.1712,5.420881721181
64.9142,5.422915273047
65.6659,5.424858589675
66.4263,5.426710716954
67.1955,5.428471159852
67.9735,5.430139842651
68.7606,5.431717069593
69.5568,5.433203486566
70.3623,5.434600044193
71.177,5.435907962762
72.0012,5.437128699077
72.835,5.438263915497
73.6783,5.439315451071
74.5315,5.440285294925
75.3945,5.441175561776
76.2676,5.441988469535
77.1507,5.442726318948
78.0441,5.443391475126
78.9478,5.443986350896
79.8619,5.44451339185
80.7867,5.444975062964
81.7222,5.445373836698
82.6685,5.445712182421
83.6257,5.445992557111
84.5941,5.446217397166
85.5736,5.446389111287
86.5645,5.446510074272
87.5669,5.446582621704
88.5809,5.446609045387
89.6066,5.446591589521
90.6442,5.446532447486
91.6938,5.446433759184
92.7555,5.446297608953
93.8296,5.446126023865
94.9161,5.445920972475
96.0152,5.445684363952
97.127,5.445418047465
98.2517,5.445123811945
99.3894,5.444803386023
100.54,5.444458438252
101.704,5.444090577472
102.882,5.443701353388
104.073,5.443292257258
105.279,5.442864722778
106.498,5.442420126984
107.731,5.44195979129
108.978,5.441484982646
110.24,5.440996914693
111.517,5.440496749042
112.808,5.439985596496
114.114,5.439464518422
115.436,5.438934528066
116.772,5.438396591921
118.124,5.4378516311
119.492,5.437300522726
120.876,5.436744101263
122.276,5.43618315994
123.692,5.43561845209
125.124,5.435050692497
